,vehicle,miles_bin,origin_state,count,rpm mean,rpm median,rpm std,vehicle_rank
33,CARGO VAN,1,WI,16,2.1368394703692104,2.0586294423881313,0.426488668076328,0
34,CARGO VAN,2,AL,8,1.6248060698117521,1.430274135876043,0.6516768201476465,0
35,CARGO VAN,2,AR,7,1.6325443466338168,1.5459770114942528,0.22397687867503874,0
36,CARGO VAN,2,CT,8,1.6569625484807506,1.6542450709510166,0.224339979667072,0
37,CARGO VAN,2,MI,46,1.7839507328390183,1.6332292402735593,0.45260650623849585,0
38,CARGO VAN,2,MO,10,1.6825107114646791,1.579741137698017,0.32967258438426045,0
39,CARGO VAN,2,MS,4,1.755277312046193,1.757021004516515,0.08374583873527733,0
40,CARGO VAN,2,NH,11,1.4815980301701857,1.443163383545771,0.1583853523583832,0
41,CARGO VAN,2,NX,5,4.040717748265911,4.0819506462984725,0.27764736375527904,0
42,CARGO VAN,2,OH,9,1.6767587841938503,1.601625916870416,0.17566444853594104,0
43,CARGO VAN,2,OK,3,1.8301291482315019,1.5781331592689294,0.6891770360138617,0
44,CARGO VAN,2,QA,4,3.5367683651508877,3.4004717420113764,0.8674130268574224,0
45,CARGO VAN,2,SC,18,1.6580441205236551,1.56287390010352,0.5309653503806134,0
46,CARGO VAN,2,TL,7,2.387275117106943,2.1954674220963173,0.615085115636516,0
47,CARGO VAN,2,TN,13,1.7257238847502845,1.4705882352941178,0.5279669648876233,0
48,CARGO VAN,2,TX,57,2.0200344881548276,1.8919219653179191,0.5774725269656225,0
49,CARGO VAN,2,WI,7,1.6494231454780734,1.6265,0.25294744726256047,0
50,CARGO VAN,3,AL,6,1.4172484577831526,1.351289373637522,0.2731340323704727,0
51,CARGO VAN,3,AZ,5,1.6773995403862827,1.5434985968194574,0.3964400732722684,0
52,CARGO VAN,3,CU,6,2.770393761291576,2.7930948275862066,0.931747697701761,0
53,CARGO VAN,3,FL,9,1.4303533859404576,1.3756749555950267,0.24150611011517314,0
54,CARGO VAN,3,GA,16,1.3919504910052234,1.4361218625381187,0.31242625697724996,0
55,CARGO VAN,3,IA,5,1.5007672647595205,1.4444750889679714,0.12014781746335132,0
56,CARGO VAN,3,IL,35,1.0897939256457163,0.9871794871794872,0.2655332471463047,0
57,CARGO VAN,3,IN,10,1.673943070735619,1.3691024161296932,1.3013361367190688,0
58,CARGO VAN,3,KY,22,1.2444280105739631,1.1984602615641604,0.4091753908870237,0
59,CARGO VAN,3,MI,5,1.4167307812950702,1.383844155844156,0.15333290184094006,0
60,CARGO VAN,3,MN,3,1.4031801889866404,1.395777126099707,0.09747402657431908,0
61,CARGO VAN,3,MO,4,1.9961958996886835,1.7122128520486135,0.6450900321214733,0
62,CARGO VAN,3,NX,4,2.7582550803816064,2.2771238523236264,1.3187673651375436,0
63,CARGO VAN,3,SC,4,1.4671953674442682,1.3883051624698242,0.16529294454892443,0
64,CARGO VAN,3,TN,62,1.2201578749674735,1.1622340425531914,0.3616137971253535,0
65,CARGO VAN,3,TX,79,1.5163821027395306,1.4434060228452752,0.3410265725378203,0
66,CARGO VAN,4,AG,14,1.86568787502582,1.8086232228512165,0.3539058564985812,0
67,CARGO VAN,4,AL,7,1.8231139350076346,1.4574529780564265,0.7056285820589965,0
68,CARGO VAN,4,AZ,27,1.6077743141725276,1.6224187107815171,0.41626283252638047,0
69,CARGO VAN,4,CA,23,1.523323462486004,1.326382775119617,0.6206959662525561,0
70,CARGO VAN,4,CT,7,1.1369802888277665,0.960058451047248,0.32347983448841794,0
71,CARGO VAN,4,CU,62,1.7627381411621257,1.673761183288101,0.4438436598556479,0
72,CARGO VAN,4,DF,4,1.548682279125621,1.5563101301641198,0.18446333557140288,0
73,CARGO VAN,4,DG,3,2.2363140784077533,2.4200818833162745,0.6086190218075761,0
74,CARGO VAN,4,EM,34,1.8259040862644795,1.7583741752427084,0.3944964134702551,0
75,CARGO VAN,4,GA,9,1.533692590281368,1.3421794871794872,0.37280078771458514,0
76,CARGO VAN,4,GJ,44,1.8619678426610513,1.7049224699399153,0.7115850636835138,0
77,CARGO VAN,4,IA,3,1.3419247974498212,1.2716441620333598,0.14541931718467113,0
78,CARGO VAN,4,IL,107,1.2664514994719673,1.195607958732498,0.2875986604369587,0
79,CARGO VAN,4,IN,61,1.2914514784517033,1.158575712143928,0.6784872522690404,0
80,CARGO VAN,4,JA,45,1.9695742294800282,1.8363939899833053,0.650508478248042,0
81,CARGO VAN,4,KY,47,1.3511909074217066,1.3620967741935484,0.4204616004994776,0
82,CARGO VAN,4,MA,4,1.1025312733200794,1.1085511840732392,0.1901788318509728,0
83,CARGO VAN,4,MI,424,1.0554298068965389,0.949893418169369,0.2569299544667064,0
84,CARGO VAN,4,MN,9,1.8214980160904746,1.3507516105941302,1.456629222320222,0
85,CARGO VAN,4,MR,15,1.6133067582318938,1.6300688976377953,0.2657062588923264,0
86,CARGO VAN,4,NC,27,1.1981868070854205,1.1335849056603773,0.29778085838153834,0
87,CARGO VAN,4,NJ,3,1.2042107672847562,1.324453915823122,0.22365646115211354,0
88,CARGO VAN,4,NX,48,1.8292942508461698,1.6708186475521538,0.5717155700867843,0
89,CARGO VAN,4,NY,10,1.3769776369476718,1.3915963003961247,0.28967206088314923,0
90,CARGO VAN,4,OH,90,1.1531179189119798,1.0375461815882963,0.3030215436231979,0
91,CARGO VAN,4,ON,18,1.5963382414618854,1.5319434884796799,0.3100525382372901,0
92,CARGO VAN,4,PA,80,1.1312783413445524,1.0606060606060606,0.21920497706696537,0
93,CARGO VAN,4,PU,10,1.8855875963608018,1.670941325287223,0.7148976981438548,0
94,CARGO VAN,4,QA,50,1.9021961472909614,1.6559724847695647,0.7017726889549519,0
95,CARGO VAN,4,RI,3,1.4325206957044472,1.4727826417967262,0.30497826436165737,0
96,CARGO VAN,4,SC,31,1.3259505191961292,1.1031746031746033,0.545629090546936,0
97,CARGO VAN,4,SL,51,1.6510934303501734,1.5402189781021898,0.3488869977131779,0
98,CARGO VAN,4,TN,29,1.3668418825397737,1.3411783644558917,0.2772359353770377,0
99,CARGO VAN,4,TX,787,1.2419872924194943,1.1566433566433567,0.3240945065127052,0
100,CARGO VAN,4,UT,21,1.5917250944132608,1.4744719372359685,0.412758440337612,0
101,CARGO VAN,4,VA,19,1.1979103312438883,1.158688524590164,0.23293677547120584,0
102,CARGO VAN,4,WI,29,1.3959165778756402,1.2858424790187215,0.39259853798777444,0
103,CUBE VAN,0,IL,4,4.044089102913759,4.123863675850087,0.7952918935792173,2
104,CUBE VAN,0,IN,3,3.1824885714285713,2.4583466666666665,1.7476226732820832,2
105,CUBE VAN,0,KY,3,3.3046365857600564,2.977667493796526,0.9347732681218575,2
106,CUBE VAN,0,MI,5,3.900218977221764,3.718905472636816,0.959669647962124,2
107,CUBE VAN,0,QA,3,2.8897849462365595,2.8225806451612905,0.11640126394952151,2
108,CUBE VAN,0,TN,7,3.5773058532987148,3.5398230088495577,0.8929150119748275,2
109,CUBE VAN,0,TX,26,2.9118534981685027,2.6659959758551306,0.7915503651101463,2
110,CUBE VAN,1,GJ,13,2.014962167167691,1.7851985559566788,0.32031678741350605,2
111,CUBE VAN,1,JA,7,2.2650271556320054,2.2620904836193447,0.253437314197095,2
112,CUBE VAN,1,MI,8,2.3867552294695473,2.090747330960854,0.5742822765657122,2
113,CUBE VAN,1,QA,3,2.001046585658694,1.986183074265976,0.04807162815236366,2
114,CUBE VAN,1,TN,8,2.8328441621719103,2.7212791204896467,0.4178296487484991,2
115,CUBE VAN,1,TX,46,2.014497123531675,1.8362482075668254,0.43964314831511336,2
